Date,Series,Value
2017-06-04 00:00:00,Volume Intensity,0.0652
2017-06-05 00:00:00,Volume Intensity,0.0871
2017-06-06 00:00:00,Volume Intensity,0.0966
2017-06-07 00:00:00,Volume Intensity,0.0733
2017-06-08 00:00:00,Volume Intensity,0.0763
2017-06-09 00:00:00,Volume Intensity,0.0754
2017-06-10 00:00:00,Volume Intensity,0.0481
2017-06-11 00:00:00,Volume Intensity,0.0597
2017-06-12 00:00:00,Volume Intensity,0.0857
2017-06-13 00:00:00,Volume Intensity,0.1158
2017-06-14 00:00:00,Volume Intensity,0.1005
2017-06-15 00:00:00,Volume Intensity,0.1114
2017-06-16 00:00:00,Volume Intensity,0.1052
2017-06-17 00:00:00,Volume Intensity,0.0810
2017-06-18 00:00:00,Volume Intensity,0.0975
2017-06-19 00:00:00,Volume Intensity,0.0873
2017-06-20 00:00:00,Volume Intensity,0.0716
2017-06-21 00:00:00,Volume Intensity,0.0776
2017-06-22 00:00:00,Volume Intensity,0.1259
2017-06-23 00:00:00,Volume Intensity,0.1070
2017-06-24 00:00:00,Volume Intensity,0.0653
2017-06-25 00:00:00,Volume Intensity,0.0591
2017-06-26 00:00:00,Volume Intensity,0.0806
2017-06-27 00:00:00,Volume Intensity,0.3088
2017-06-28 00:00:00,Volume Intensity,0.5336
2017-06-29 00:00:00,Volume Intensity,0.2332
2017-06-30 00:00:00,Volume Intensity,0.1364
2017-07-01 00:00:00,Volume Intensity,0.0792
2017-07-02 00:00:00,Volume Intensity,0.0815
2017-07-03 00:00:00,Volume Intensity,0.1054
2017-07-04 00:00:00,Volume Intensity,0.1077
2017-07-05 00:00:00,Volume Intensity,0.1438
2017-07-06 00:00:00,Volume Intensity,0.1249
2017-07-07 00:00:00,Volume Intensity,0.0915
2017-07-08 00:00:00,Volume Intensity,0.0562
2017-07-09 00:00:00,Volume Intensity,0.0547
2017-07-10 00:00:00,Volume Intensity,0.0959
2017-07-11 00:00:00,Volume Intensity,0.1548
2017-07-12 00:00:00,Volume Intensity,0.1080
2017-07-13 00:00:00,Volume Intensity,0.0986
2017-07-14 00:00:00,Volume Intensity,0.0871
2017-07-15 00:00:00,Volume Intensity,0.0602
2017-07-16 00:00:00,Volume Intensity,0.0638
2017-07-17 00:00:00,Volume Intensity,0.1000
2017-07-18 00:00:00,Volume Intensity,0.0962
2017-07-19 00:00:00,Volume Intensity,0.0861
2017-07-20 00:00:00,Volume Intensity,0.1183
2017-07-21 00:00:00,Volume Intensity,0.1147
2017-07-22 00:00:00,Volume Intensity,0.1026
2017-07-23 00:00:00,Volume Intensity,0.0877
2017-07-24 00:00:00,Volume Intensity,0.2339
2017-07-25 00:00:00,Volume Intensity,0.1179
2017-07-26 00:00:00,Volume Intensity,0.1771
2017-07-27 00:00:00,Volume Intensity,0.1652
2017-07-28 00:00:00,Volume Intensity,0.1285
2017-07-29 00:00:00,Volume Intensity,0.0776
2017-07-30 00:00:00,Volume Intensity,0.0678
2017-07-31 00:00:00,Volume Intensity,0.1147
2017-08-01 00:00:00,Volume Intensity,0.2191
2017-08-02 00:00:00,Volume Intensity,0.2436
2017-08-03 00:00:00,Volume Intensity,0.1395
2017-08-04 00:00:00,Volume Intensity,0.1327
2017-08-05 00:00:00,Volume Intensity,0.1212
2017-08-06 00:00:00,Volume Intensity,0.1143
2017-08-07 00:00:00,Volume Intensity,0.1902
2017-08-08 00:00:00,Volume Intensity,0.2811
2017-08-09 00:00:00,Volume Intensity,0.1513
2017-08-10 00:00:00,Volume Intensity,0.1389
2017-08-11 00:00:00,Volume Intensity,0.1813
2017-08-12 00:00:00,Volume Intensity,0.1249
2017-08-13 00:00:00,Volume Intensity,0.2048
2017-08-14 00:00:00,Volume Intensity,0.2425
2017-08-15 00:00:00,Volume Intensity,0.2104
2017-08-16 00:00:00,Volume Intensity,0.1560
2017-08-17 00:00:00,Volume Intensity,0.2054
2017-08-18 00:00:00,Volume Intensity,0.1448
2017-08-19 00:00:00,Volume Intensity,0.1011
2017-08-20 00:00:00,Volume Intensity,0.1173
2017-08-21 00:00:00,Volume Intensity,0.1271
2017-08-22 00:00:00,Volume Intensity,0.1708
2017-08-23 00:00:00,Volume Intensity,0.1268
2017-08-24 00:00:00,Volume Intensity,0.1811
2017-08-25 00:00:00,Volume Intensity,0.1099
2017-08-26 00:00:00,Volume Intensity,0.0782
2017-08-27 00:00:00,Volume Intensity,0.0924
2017-08-28 00:00:00,Volume Intensity,0.1582
2017-08-29 00:00:00,Volume Intensity,0.1234
2017-08-30 00:00:00,Volume Intensity,0.1334
2017-08-31 00:00:00,Volume Intensity,0.1592
2017-09-01 00:00:00,Volume Intensity,0.1654
2017-09-02 00:00:00,Volume Intensity,0.1572
2017-09-03 00:00:00,Volume Intensity,0.1381
2017-09-04 00:00:00,Volume Intensity,0.2769
2017-09-05 00:00:00,Volume Intensity,0.2805
2017-09-06 00:00:00,Volume Intensity,0.1906
2017-09-07 00:00:00,Volume Intensity,0.1607
2017-09-08 00:00:00,Volume Intensity,0.1733
2017-09-09 00:00:00,Volume Intensity,0.1249
2017-09-10 00:00:00,Volume Intensity,0.0979
2017-09-11 00:00:00,Volume Intensity,0.1928
2017-09-12 00:00:00,Volume Intensity,0.2067
2017-09-13 00:00:00,Volume Intensity,0.2627
2017-09-14 00:00:00,Volume Intensity,0.2437
2017-09-15 00:00:00,Volume Intensity,0.3436
2017-09-16 00:00:00,Volume Intensity,0.1907
2017-09-17 00:00:00,Volume Intensity,0.1835
2017-09-18 00:00:00,Volume Intensity,0.2461
2017-09-19 00:00:00,Volume Intensity,0.2569
2017-09-20 00:00:00,Volume Intensity,0.1681
2017-09-21 00:00:00,Volume Intensity,0.1607
2017-09-22 00:00:00,Volume Intensity,0.1867
2017-09-23 00:00:00,Volume Intensity,0.1055
2017-09-24 00:00:00,Volume Intensity,0.0916
2017-09-25 00:00:00,Volume Intensity,0.1444
2017-09-26 00:00:00,Volume Intensity,0.1717
2017-09-27 00:00:00,Volume Intensity,0.2176
2017-09-28 00:00:00,Volume Intensity,0.1729
2017-09-29 00:00:00,Volume Intensity,0.2698
2017-09-30 00:00:00,Volume Intensity,0.1459
2017-10-01 00:00:00,Volume Intensity,0.1180
2017-10-02 00:00:00,Volume Intensity,0.1512
2017-10-03 00:00:00,Volume Intensity,0.1445
2017-10-04 00:00:00,Volume Intensity,0.1929
2017-10-05 00:00:00,Volume Intensity,0.1133
2017-10-06 00:00:00,Volume Intensity,0.1907
2017-10-07 00:00:00,Volume Intensity,0.0996
2017-10-08 00:00:00,Volume Intensity,0.0923
2017-10-09 00:00:00,Volume Intensity,0.1201
2017-10-10 00:00:00,Volume Intensity,0.1876
2017-10-11 00:00:00,Volume Intensity,0.2004
2017-10-12 00:00:00,Volume Intensity,0.2775
2017-10-13 00:00:00,Volume Intensity,0.2890
2017-10-14 00:00:00,Volume Intensity,0.1187
2017-10-15 00:00:00,Volume Intensity,0.1233
2017-10-16 00:00:00,Volume Intensity,0.1770
2017-10-17 00:00:00,Volume Intensity,0.1883
2017-10-18 00:00:00,Volume Intensity,0.1856
2017-10-19 00:00:00,Volume Intensity,0.1755
2017-10-20 00:00:00,Volume Intensity,0.1906
2017-10-21 00:00:00,Volume Intensity,0.1774
2017-10-22 00:00:00,Volume Intensity,0.1104
2017-10-23 00:00:00,Volume Intensity,0.2049
2017-10-24 00:00:00,Volume Intensity,0.2319
2017-10-25 00:00:00,Volume Intensity,0.2441
2017-10-26 00:00:00,Volume Intensity,0.1546
2017-10-27 00:00:00,Volume Intensity,0.1473
2017-10-28 00:00:00,Volume Intensity,0.1353
2017-10-29 00:00:00,Volume Intensity,0.1372
2017-10-30 00:00:00,Volume Intensity,0.1975
2017-10-31 00:00:00,Volume Intensity,0.2066
2017-11-01 00:00:00,Volume Intensity,0.2747
2017-11-02 00:00:00,Volume Intensity,0.2771
2017-11-03 00:00:00,Volume Intensity,0.2248
2017-11-04 00:00:00,Volume Intensity,0.2101
2017-11-05 00:00:00,Volume Intensity,0.1432
2017-11-06 00:00:00,Volume Intensity,0.2031
2017-11-07 00:00:00,Volume Intensity,0.1774
2017-11-08 00:00:00,Volume Intensity,0.2071
2017-11-09 00:00:00,Volume Intensity,0.1822
2017-11-10 00:00:00,Volume Intensity,0.1866
2017-11-11 00:00:00,Volume Intensity,0.1416
